ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,0.079999998,0.08,mg/L,51.10122,-114.27975,05/14/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.082999997,0.083,mg/L,51.10122,-114.27975,05/27/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.098999999,0.099,mg/L,51.10122,-114.27975,06/10/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.079000004,0.079,mg/L,51.10122,-114.27975,06/24/200,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.075999998,0.076,mg/L,51.10122,-114.27975,07/08/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.067000002,0.067,mg/L,51.10122,-114.27975,07/22/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.054000001,0.054,mg/L,51.10122,-114.27975,08/12/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.039000001,0.039,mg/L,51.10122,-114.27975,08/26/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.037,0.037,mg/L,51.10122,-114.27975,09/09/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.043000001,0.043,mg/L,51.10122,-114.27975,10/07/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.075999998,0.076,mg/L,51.10122,-114.27975,11/04/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.104999997,0.105,mg/L,51.10122,-114.27975,12/02/2003 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.119999997,0.12,mg/L,51.10122,-114.27975,01/13/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.129999995,0.13,mg/L,51.10122,-114.27975,02/04/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.119000003,0.119,mg/L,51.10122,-114.27975,03/02/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.088,0.088,mg/L,51.10122,-114.27975,04/08/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.052999999,0.053,mg/L,51.10122,-114.27975,05/05/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.054000001,0.054,mg/L,51.10122,-114.27975,06/02/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.081,0.081,mg/L,51.10122,-114.27975,06/30/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.067000002,0.067,mg/L,51.10122,-114.27975,07/28/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.07,0.07,mg/L,51.10122,-114.27975,08/25/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.063000001,0.063,mg/L,51.10122,-114.27975,09/23/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.077,0.077,mg/L,51.10122,-114.27975,10/20/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.123000003,0.123,mg/L,51.10122,-114.27975,11/17/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.108000003,0.108,mg/L,51.10122,-114.27975,12/15/2004 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.127000004,0.127,mg/L,51.10122,-114.27975,01/12/2005,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.123000003,0.123,mg/L,51.10122,-114.27975,02/09/2005,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.093999997,0.094,mg/L,51.10122,-114.27975,03/09/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.093000002,0.093,mg/L,51.10122,-114.27975,04/06/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.059999999,0.06,mg/L,51.10122,-114.27975,05/04/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.059999999,0.06,mg/L,51.10122,-114.27975,06/01/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.107000001,0.107,mg/L,51.10122,-114.27975,06/29/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.107000001,0.107,mg/L,51.10122,-114.27975,07/27/2005 ,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.097999997,0.098,mg/L,51.10122,-114.27975,08/24/2005 ,Nitrate (NO3-N),SUR_BR-BD
