ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,9,9,øC,51.10122,-114.27975,05/14/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,12.5,12.5,øC,51.10122,-114.27975,05/27/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.30000019,11.3,øC,51.10122,-114.27975,06/10/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.80000019,11.8,øC,51.10122,-114.27975,06/24/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,14.69999981,14.7,øC,51.10122,-114.27975,07/08/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,17.60000038,17.6,øC,51.10122,-114.27975,07/22/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,17.89999962,17.9,øC,51.10122,-114.27975,08/12/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,16.29999924,16.3,øC,51.10122,-114.27975,08/26/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,14.80000019,14.8,øC,51.10122,-114.27975,09/09/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10.89999962,10.9,øC,51.10122,-114.27975,10/07/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,2.599999905,2.6,øC,51.10122,-114.27975,11/04/2003 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.699999988,0.7,øC,51.10122,-114.27975,12/02/2003,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.300000012,0.3,øC,51.10122,-114.27975,01/13/2004,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.200000003,0.2,øC,51.10122,-114.27975,02/04/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.100000001,0.1,øC,51.10122,-114.27975,03/02/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,4.400000095,4.4,øC,51.10122,-114.27975,04/08/2004,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.199999809,9.2,øC,51.10122,-114.27975,05/05/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.5,11.5,øC,51.10122,-114.27975,06/02/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,14.39999962,14.4,øC,51.10122,-114.27975,06/30/2004,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,16.20000076,16.2,øC,51.10122,-114.27975,07/28/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,14.80000019,14.8,øC,51.10122,-114.27975,08/25/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.80000019,11.8,øC,51.10122,-114.27975,09/23/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,5.199999809,5.2,øC,51.10122,-114.27975,10/20/2004,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,4,4,øC,51.10122,-114.27975,11/17/2004 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.300000012,0.3,øC,51.10122,-114.27975,12/15/2004,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,-0.899999976,-0.9,øC,51.10122,-114.27975,01/12/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.5,0.5,øC,51.10122,-114.27975,02/09/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,4.199999809,4.2,øC,51.10122,-114.27975,04/06/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.100000381,8.1,øC,51.10122,-114.27975,05/04/2005,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,13.10000038,13.1,øC,51.10122,-114.27975,06/01/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.69999981,11.7,øC,51.10122,-114.27975,06/29/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,15.39999962,15.4,øC,51.10122,-114.27975,07/27/2005,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.89999962,11.9,øC,51.10122,-114.27975,08/24/2005,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10.39999962,10.4,øC,51.10122,-114.27975,09/22/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,7,7,øC,51.10122,-114.27975,10/19/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,1.799999952,1.8,øC,51.10122,-114.27975,11/16/2005 ,Water Temperature (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.400000006,0.4,øC,51.10122,-114.27975,12/14/2005 ,Water Temperature (Field),SUR_BR-BD
